,wikidata,bathwateridentifier,status,eionet,euType,euMotive,NotEuMotive,link,WD
4,Q106707057,SE0A11381000000181,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000181,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000181'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707057'>link WD</a>
5,Q106707059,SE0A11381000000183,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000183,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000183'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707059'>link WD</a>
6,Q106707058,SE0A11381000000182,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000182,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000182'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707058'>link WD</a>
8,Q106707060,SE0A11381000000186,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000186,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000186'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707060'>link WD</a>
9,Q106707062,SE0A11381000000189,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000189,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000189'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707062'>link WD</a>
10,Q106707061,SE0A11381000000188,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000188,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000188'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707061'>link WD</a>
12,Q106707065,SE0411080000000199,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0411080000000199,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0411080000000199'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707065'>link WD</a>
13,Q106707067,SE0411080000000202,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0411080000000202,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0411080000000202'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707067'>link WD</a>
14,Q106707066,SE0411080000000201,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0411080000000201,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0411080000000201'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707066'>link WD</a>
17,Q106707074,SE0441291000000272,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000272,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000272'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707074'>link WD</a>
18,Q106707072,SE0940980000000248,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0940980000000248,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0940980000000248'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707072'>link WD</a>
20,Q106707073,SE0940980000000260,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0940980000000260,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0940980000000260'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707073'>link WD</a>
22,Q106707082,SE0441291000000281,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000281,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000281'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707082'>link WD</a>
25,Q106707079,SE0411060000000276,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0411060000000276,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0411060000000276'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707079'>link WD</a>
26,Q106707083,SE0441291000000284,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000284,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000284'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707083'>link WD</a>
33,Q106707091,SE0441272000000297,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441272000000297,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441272000000297'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707091'>link WD</a>
34,Q106707089,SE0441272000000295,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441272000000295,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441272000000295'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707089'>link WD</a>
35,Q106707095,SE0441272000000300,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441272000000300,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441272000000300'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707095'>link WD</a>
38,Q106707093,SE0441272000000299,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441272000000299,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441272000000299'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707093'>link WD</a>
39,Q106707096,SE0441272000000301,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441272000000301,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441272000000301'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707096'>link WD</a>
40,Q106707099,SE0441264000000306,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441264000000306,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441264000000306'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707099'>link WD</a>
42,Q106707100,SE0441264000000308,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441264000000308,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441264000000308'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707100'>link WD</a>
43,Q106707102,SE0441283000000311,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000311,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000311'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707102'>link WD</a>
44,Q106707101,SE0441283000000310,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000310,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000310'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707101'>link WD</a>
46,Q106707114,SE0441283000000314,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000314,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000314'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707114'>link WD</a>
47,Q106707113,SE0441283000000313,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000313,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000313'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707113'>link WD</a>
49,Q106707119,SE0441283000000319,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000319,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000319'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707119'>link WD</a>
