,0
0,Q60732601
1,Q55693478
2,Q18331182
3,Q10602215
4,Q55693672
5,Q10518664
6,Q1970969
7,Q7987869
8,Q10679913
9,Q30186277
10,Q19977636
11,Q30158473
12,Q89455639
13,Q30197540
14,Q29579996
15,Q22661330
16,Q30200735
17,Q18290209
18,Q88937699
19,Q18291412
20,Q30106958
21,Q16928120
22,Q30158485
23,Q55693530
24,Q18332422
25,Q30162352
26,Q10525308
27,Q29580017
28,Q18335309
29,Q2221378
30,Q30186826
31,Q10655544
32,Q30160624
33,Q55693515
34,Q30174660
35,Q30158649
36,Q30165615
37,Q10435025
38,Q30172835
39,Q18923353
