,0
0,Q35694946
1,Q16275831
2,Q31891561
3,Q429769
4,Q16497364
5,Q13368095
6,Q61779211
7,Q10425483
8,Q61779755
9,Q61779653
10,Q61779284
11,Q17709346
12,Q61779375
13,Q16503734
14,Q16503735
15,Q61779581
16,Q10705582
17,Q61779387
18,Q16505587
19,Q18194046
20,Q61779845
21,Q16506308
22,Q32229557
23,Q10438360
24,Q10438438
25,Q16507329
26,Q473857
27,Q28838051
28,Q18194042
29,Q18178112
30,Q5254523
31,Q216627
32,Q18181312
33,Q61779103
34,Q10688202
35,Q18105292
36,Q10496947
37,Q21856416
38,Q17709388
39,Q61779606
40,Q17745187
41,Q18187251
42,Q61779803
43,Q61779593
44,Q61779462
45,Q17709418
46,Q18105737
47,Q61779834
48,Q18196321
49,Q61779591
50,Q32254050
51,Q61779126
52,Q10524190
53,Q18133591
54,Q1333418
55,Q61779298
56,Q18132165
57,Q61779538
58,Q61779650
59,Q61779569
60,Q18131547
61,Q61779745
62,Q18132326
63,Q3360973
64,Q61779115
65,Q426516
66,Q18197607
67,Q10561742
68,Q17745093
69,Q18189781
70,Q49114276
71,Q431863
72,Q17745174
73,Q10727203
74,Q18104930
75,Q10605387
76,Q17745292
77,Q18104966
78,Q61779315
79,Q18131538
80,Q18194012
81,Q61779760
82,Q17745410
83,Q18179051
84,Q10572657
85,Q61779580
86,Q2285479
87,Q17745192
88,Q10438548
89,Q17745333
90,Q550372
91,Q35289199
92,Q17745211
93,Q17745212
94,Q18095197
95,Q10542941
96,Q18182735
97,Q49392963
98,Q61779579
99,Q18190832
100,Q17712543
101,Q61779236
102,Q49393163
103,Q61779751
104,Q18187272
105,Q106962860
106,Q2370591
107,Q10698662
108,Q18133380
109,Q17745409
110,Q61779618
111,Q18194072
112,Q17709637
113,Q61779849
114,Q61779568
115,Q61779802
116,Q16503724
117,Q16505537
118,Q18132560
119,Q1272368
120,Q16504110
121,Q16505256
122,Q18136766
123,Q17709327
124,Q17692309
125,Q18186926
126,Q17644580
127,Q18193832
128,Q16505669
129,Q18188765
130,Q18188950
131,Q18188738
132,Q18179786
133,Q16502530
134,Q17638567
135,Q18105346
136,Q18132352
137,Q10524934
138,Q18051614
139,Q18132359
140,Q17645187
141,Q10532385
142,Q17709372
143,Q18104983
144,Q18104986
145,Q17645238
146,Q18105398
147,Q18194541
148,Q18186354
149,Q10553425
150,Q18179845
151,Q18136133
152,Q17517479
153,Q18179910
154,Q10560716
155,Q18105088
156,Q17645129
157,Q18131585
158,Q18051640
159,Q18051643
160,Q18105022
161,Q18192984
162,Q18194242
163,Q18105561
164,Q17693012
165,Q18105470
166,Q10576083
167,Q18193000
168,Q17644576
169,Q10587510
170,Q18136308
171,Q10590069
172,Q18187072
173,Q10538521
174,Q18188890
175,Q10551538
176,Q18194675
177,Q18051665
178,Q18179662
179,Q17638540
180,Q18132869
181,Q10727527
182,Q18144728
183,Q18194592
184,Q10650565
185,Q18187242
186,Q18188687
187,Q17525220
188,Q18194839
189,Q18137398
190,Q18194596
191,Q18186399
192,Q18051685
193,Q18132230
194,Q18177966
195,Q18187117
196,Q18188961
197,Q18194323
198,Q18104791
199,Q18105806
200,Q10555298
201,Q10673186
202,Q17645090
203,Q18105537
204,Q18132520
205,Q18194381
206,Q17780919
207,Q18105575
208,Q18105577
209,Q18105104
210,Q10689117
211,Q10690681
212,Q17645209
213,Q18179999
214,Q18105494
215,Q18193857
216,Q7916088
217,Q18187217
218,Q18105606
219,Q18187221
220,Q18104808
221,Q10692665
222,Q4992317
223,Q18189025
224,Q18132365
225,Q18187240
226,Q18194657
227,Q18133991
228,Q258116
229,Q10726224
230,Q33614151
231,Q61779268
232,Q18194101
